gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.461	0.21	0.803	0.275	0.854	0.428	0.306	0.233	0.0	0.363	0.369	0.332
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.009	0.01	0.007	0.025	0.024	0.056	0.023	0.006	0.0	0.013	0.024	0.029
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.437	0.552	0.59	0.489	0.392	0.402	0.413	0.577	0.0	0.219	0.783	0.557
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.0	0.002	0.008	0.0	0.001	0.0	0.0	0.0	0.013	0.0
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.011	0.0	0.002	0.005	0.0	0.001	0.006	0.0	0.01	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.0	0.0	0.008	0.0	0.004	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.048	0.021	0.018	0.006	0.007	0.0	0.009	0.005	0.0	0.005	0.0	0.006
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	3.445	4.031	3.685	4.153	3.537	4.059	3.87	4.042	3.097	3.174	4.053	3.747
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.631	0.919	0.603	0.899	0.617	0.972	0.692	0.893	1.653	0.462	0.918	0.775
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.011	0.078	0.1	0.015	0.0	0.029	0.005	0.021	0.0	0.0	0.193	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.036	0.054	0.025	0.113	0.041	0.056	0.194	0.193	1.653	0.006	0.021	0.027
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.019	0.147	0.015	0.237	0.038	0.187	0.129	0.223	0.0	0.004	0.429	0.209
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.024	0.017	0.037	0.038	0.034	0.027	0.048	0.042	0.0	0.048	0.025	0.053
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	3.445	4.031	3.685	4.153	3.537	4.059	3.87	4.042	3.097	3.174	4.053	3.747
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	3.445	4.031	3.685	4.153	3.537	4.059	3.87	4.042	3.097	3.174	4.053	3.747
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.631	0.919	0.603	0.899	0.617	0.972	0.692	0.893	1.653	0.462	0.918	0.775
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.036	0.054	0.025	0.113	0.041	0.056	0.194	0.193	1.653	0.006	0.021	0.027
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.036	0.054	0.025	0.113	0.041	0.056	0.194	0.193	1.653	0.006	0.021	0.027
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	1.282	2.858	2.082	2.374	1.828	3.014	2.986	3.021	2.616	1.286	2.065	2.177
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.035	0.074	0.121	0.033	0.042	0.056	0.054	0.038	0.0	0.021	0.049	0.097
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.158	0.388	0.275	0.465	0.175	0.356	0.284	0.474	0.0	0.197	0.531	0.421
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.32	0.657	0.275	0.89	0.303	0.891	0.473	0.756	0.0	0.071	0.683	0.297
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	1.282	2.858	2.082	2.374	1.828	3.014	2.986	3.021	2.616	1.286	2.065	2.177
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	0.455	1.684	0.675	1.642	0.861	1.472	1.547	1.843	0.0	0.35	0.786	0.431
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.005	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.055	0.021	0.029	0.033	0.043	0.042	0.038	0.056	0.0	0.012	0.055	0.017
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.037	0.053	0.015	0.012	0.007	0.024	0.022	0.0	0.0	0.022	0.067	0.03
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.029	0.0	0.0	0.002	0.0	0.0	0.0	0.015	0.0	0.016	0.0	0.005
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	1.282	2.858	2.082	2.374	1.828	3.014	2.986	3.021	2.616	1.286	2.065	2.177
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.035	0.074	0.121	0.033	0.042	0.056	0.054	0.038	0.0	0.021	0.049	0.097
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.035	0.074	0.121	0.033	0.042	0.056	0.054	0.038	0.0	0.021	0.049	0.097
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.158	0.388	0.275	0.465	0.175	0.356	0.284	0.474	0.0	0.197	0.531	0.421
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.037	0.015	0.024	0.03	0.022	0.024	0.048	0.069	0.0	0.038	0.01	0.043
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.005	0.016	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.259	0.224	0.121	0.232	0.278	0.395	0.296	0.33	0.0	0.062	0.182	0.179
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.128	0.102	0.172	0.051	0.11	0.045	0.202	0.101	0.0	0.12	0.031	0.088
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.064	0.468	0.19	0.692	0.057	0.536	0.307	0.473	0.0	0.014	0.471	0.468
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	3.489	4.081	3.804	4.093	3.635	3.882	3.896	4.088	3.945	3.27	4.06	3.723
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	1.121	1.494	1.429	1.578	1.122	1.476	1.437	1.394	1.653	1.019	1.506	1.328
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.064	0.328	0.023	0.215	0.065	0.346	0.335	0.217	0.0	0.0	0.302	0.193
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.064	0.328	0.023	0.215	0.065	0.346	0.335	0.217	0.0	0.0	0.302	0.193
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	1.121	1.494	1.429	1.578	1.122	1.476	1.437	1.394	1.653	1.019	1.506	1.328
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	4.043	4.485	4.298	4.427	3.979	4.278	4.362	4.359	4.024	3.724	4.459	4.376
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	1.121	1.494	1.429	1.578	1.122	1.476	1.437	1.394	1.653	1.019	1.506	1.328
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.014	0.036	0.008	0.013	0.009	0.0	0.009	0.018	0.0	0.011	0.024	0.025
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	1.121	1.494	1.429	1.578	1.122	1.476	1.437	1.394	1.653	1.019	1.506	1.328
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.014	0.036	0.008	0.013	0.009	0.0	0.009	0.018	0.0	0.011	0.024	0.025
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.307	0.004	0.133	0.002	0.278	0.045	0.133	0.0	0.0	0.222	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	3.975	3.876	3.131	3.635	1.608	3.468	3.72	3.881	4.85	0.39	3.151	2.798
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.049	0.034	0.006	0.006	0.045	0.0	0.04	0.027	0.0	0.016	0.0	0.016
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.059	1.163	0.084	0.896	0.098	0.894	0.787	0.891	1.653	0.004	1.229	0.255
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.0	0.307	0.004	0.133	0.002	0.278	0.045	0.133	0.0	0.0	0.222	0.006
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.099	0.133	0.123	0.202	0.124	0.275	0.124	0.165	0.0	0.039	0.184	0.086
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.125	0.252	0.195	0.223	0.192	0.253	0.195	0.236	0.0	0.127	0.271	0.233
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.0	0.0	0.042	0.0	0.009	0.0	0.002	0.004	0.0	0.004	0.0	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.949	0.45	0.095	0.9	0.203	0.709	0.598	0.608	0.0	0.027	1.813	2.732
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.089	0.16	0.211	0.121	0.088	0.124	0.106	0.114	0.0	0.068	0.213	0.208
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.081	0.079	0.038	0.049	0.167	0.099	0.103	0.19	0.0	0.074	0.169	0.07
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.008	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.013	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.005	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.0	0.0	0.008	0.0	0.01	0.0	0.0	0.006	0.0	0.004	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.067	0.088	0.054	0.048	0.136	0.026	0.081	0.052	0.0	0.183	0.041	0.135
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.0	0.0	0.002	0.002	0.0	0.002	0.0	0.0	0.011	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.0	0.0	0.002	0.002	0.0	0.002	0.0	0.0	0.011	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.067	0.088	0.054	0.048	0.136	0.026	0.081	0.052	0.0	0.183	0.041	0.135
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.067	0.088	0.054	0.048	0.136	0.026	0.081	0.052	0.0	0.183	0.041	0.135
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.23	0.174	0.303	0.108	0.831	0.156	0.276	0.277	0.0	0.269	0.226	0.335
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.01	0.031	0.013	0.07	0.051	0.051	0.038	0.06	0.0	0.012	0.05	0.145
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.892	0.382	1.233	0.14	0.705	0.371	0.671	0.431	0.0	0.257	0.129	0.208
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.164	0.011	0.012	0.0	0.017	0.0	0.012	0.0	0.0	0.022	0.0	0.38
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.005	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.0	0.005	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.658	0.299	1.066	0.126	0.674	0.159	0.919	0.485	1.653	1.179	0.02	0.63
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.037	0.053	0.015	0.012	0.007	0.024	0.022	0.0	0.0	0.022	0.067	0.03
CD40	P25942	False	TNR5_HUMAN		CPI-SS05834E385	0.037	0.053	0.015	0.012	0.007	0.024	0.022	0.0	0.0	0.022	0.067	0.03
HLA-DRB1	HLADRB1	False	HLADRB1		CPI-SS0EF0750A7	0.051	1.395	0.277	1.412	0.528	1.931	1.306	1.979	1.653	0.106	0.495	0.256
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.0	0.0	0.0	0.008	0.0	0.022	0.003	0.0	0.0	0.0	0.012	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.059	0.083	0.104	0.087	0.085	0.082	0.109	0.112	0.0	0.086	0.105	0.123
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.059	0.083	0.104	0.087	0.085	0.082	0.109	0.112	0.0	0.086	0.105	0.123
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.055	0.051	0.03	0.036	0.009	0.069	0.03	0.045	0.0	0.023	0.111	0.015
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.009	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.059	0.083	0.104	0.087	0.085	0.082	0.109	0.112	0.0	0.086	0.105	0.123
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.055	0.051	0.03	0.036	0.009	0.069	0.03	0.045	0.0	0.023	0.111	0.015
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.009	0.0	0.0
GPR25	O00155	False	GPR25_HUMAN		CPI-SS0EECD7662	0.029	0.006	0.015	0.028	0.008	0.0	0.019	0.058	0.0	0.0	0.183	0.016
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	0.0	0.307	0.004	0.133	0.002	0.278	0.045	0.133	0.0	0.0	0.222	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	3.975	3.876	3.131	3.635	1.608	3.468	3.72	3.881	4.85	0.39	3.151	2.798
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0C6311D2D	0.0	0.026	0.0	0.005	0.0	0.0	0.013	0.007	0.0	0.0	0.0	0.012
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.0	0.307	0.004	0.133	0.002	0.278	0.045	0.133	0.0	0.0	0.222	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	3.975	3.876	3.131	3.635	1.608	3.468	3.72	3.881	4.85	0.39	3.151	2.798
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.0	0.026	0.0	0.005	0.0	0.0	0.013	0.007	0.0	0.0	0.0	0.012
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	3.975	3.876	3.131	3.635	1.608	3.468	3.72	3.881	4.85	0.39	3.151	2.798
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	3.975	3.876	3.131	3.635	1.608	3.468	3.72	3.881	4.85	0.39	3.151	2.798
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS04641FE5F	0.0	0.026	0.0	0.005	0.0	0.0	0.013	0.007	0.0	0.0	0.0	0.012
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.001	0.002	0.0	0.002	0.0	0.0	0.0	0.0	0.005
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.008	0.002	0.0	0.0	0.003	0.007	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.008	0.002	0.0	0.0	0.003	0.007	0.0	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
GHRH	P01286	False	SLIB_HUMAN		CPI-SS003AFD9BA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS0230EE330	0.0	0.0	0.005	0.002	0.0	0.0	0.002	0.0	0.0	0.0	0.01	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.081	0.079	0.038	0.049	0.167	0.099	0.103	0.19	0.0	0.074	0.169	0.07
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.027	0.043	0.101	0.014	0.023	0.0	0.062	0.006	0.0	0.005	0.008	0.057
